Species,sample_name,ParentTagID,ParentSite,FragSite
Porites compressa,RTE1246,W0065,Reef 4,Reef 4
Porites compressa,RTE1269,W0065,Reef 4,Reef 4
Porites compressa,RTE1282,W0065,Reef 4,Reef 4
Porites compressa,RTE1288,W0065,Reef 4,Reef 4
Porites compressa,RTE1300,W0065,Reef 4,Reef 4
Porites compressa,RTE1339,W0152,Reef 4,Reef 4
Porites compressa,RTE1347,W0152,Reef 4,Reef 4
Porites compressa,RTE1354,W0152,Reef 4,Reef 4
Porites compressa,RTE1360,W0152,Reef 4,Reef 4
Porites compressa,RTE1366,W0152,Reef 4,Reef 4
Porites compressa,RTE1488,W0060,Reef 13,Reef 4
Porites compressa,RTE1492,W0060,Reef 13,Reef 4
Porites compressa,RTE1501,W0060,Reef 13,Reef 4
Porites compressa,RTE1507,W0060,Reef 13,Reef 4
Porites compressa,RTE1550,W0060,Reef 13,Reef 4
Porites compressa,RTE1567,W0048,Reef 13,Reef 4
Porites compressa,RTE1593,W0048,Reef 13,Reef 4
Porites compressa,RTE1605,W0048,Reef 13,Reef 4
Porites compressa,RTE1624,W0048,Reef 13,Reef 4
Porites compressa,RTE1627,W0048,Reef 13,Reef 4
Porites compressa,RTE1651,W0156,Reef 4,Reef 4
Porites compressa,RTE1654,W0156,Reef 4,Reef 4
Porites compressa,RTE1683,W0156,Reef 4,Reef 4
Porites compressa,RTE1710,W0156,Reef 4,Reef 4
Porites compressa,RTE1717,W0156,Reef 4,Reef 4
Porites compressa,RTE1734,W0098,Reef 4,Reef 4
Porites compressa,RTE1735,W0098,Reef 4,Reef 4
Porites compressa,RTE1737,W0098,Reef 4,Reef 4
Porites compressa,RTE1771,W0098,Reef 4,Reef 4
Porites compressa,RTE1780,W0098,Reef 4,Reef 4
Porites compressa,RTE1805,W0153,Reef 4,Reef 4
Porites compressa,RTE1813,W0153,Reef 4,Reef 4
Porites compressa,RTE1816,W0153,Reef 4,Reef 4
Porites compressa,RTE1829,W0153,Reef 4,Reef 4
Porites compressa,RTE1846,W0153,Reef 4,Reef 4
Porites compressa,RTE1898,W0151,Reef 4,Reef 4
Porites compressa,RTE1913,W0151,Reef 4,Reef 4
Porites compressa,RTE1929,W0151,Reef 4,Reef 4
Porites compressa,RTE1930,W0151,Reef 4,Reef 4
Porites compressa,RTE1957,W0151,Reef 4,Reef 4
Porites compressa,RTE1991,W0058,Reef 13,Reef 4
Porites compressa,RTE2007,W0058,Reef 13,Reef 4
Porites compressa,RTE2015,W0058,Reef 13,Reef 4
Porites compressa,RTE2028,W0058,Reef 13,Reef 4
Porites compressa,RTE2033,W0058,Reef 13,Reef 4
Porites compressa,RTE2046,W0059,Reef 13,Reef 4
Porites compressa,RTE2052,W0059,Reef 13,Reef 4
Porites compressa,RTE2072,W0059,Reef 13,Reef 4
Porites compressa,RTE2075,W0059,Reef 13,Reef 4
Porites compressa,RTE2117,W0059,Reef 13,Reef 4
Porites compressa,RTE2122,W0057,Reef 13,Reef 4
Porites compressa,RTE2135,W0057,Reef 13,Reef 4
Porites compressa,RTE2142,W0057,Reef 13,Reef 4
Porites compressa,RTE2160,W0057,Reef 13,Reef 4
Porites compressa,RTE2172,W0057,Reef 13,Reef 4
Porites compressa,RTE2202,W0054,Reef 13,Reef 4
Porites compressa,RTE2242,W0054,Reef 13,Reef 4
Porites compressa,RTE2254,W0054,Reef 13,Reef 4
Porites compressa,RTE2262,W0054,Reef 13,Reef 4
Porites compressa,RTE2298,W0049,Reef 13,Reef 4
Porites compressa,RTE2307,W0049,Reef 13,Reef 4
Porites compressa,RTE2312,W0049,Reef 13,Reef 4
